,"G","h","b","tw","tf","r","A","hi","d","fi","pmin","pmax","AL","AG","Iy","Wel.y","Wpl.y","iy","Avz","Iz","Wel.z","Wpl.z"," iz","ss","It","Iw",1,2,3,4
"HE 100 AA",12.2,91,100,4.2,5.5,12,15.6,80,56,10,54,58,0.553,45.17,236.5,51.98,58.36,3.89,6.15,92.06,18.41,28.44,2.43,29.26,2.51,1.68,290,355,181,245
"HE 100 A",16.7,96,100,5,8,12,21.2,80,56,10,54,58,0.561,33.68,349.2,72.76,83.01,4.06,7.56,133.8,26.76,41.14,2.51,35.06,5.24,2.58,217,264,138,185
"HE 100 B",20.4,100,100,6,10,12,26,80,56,10,56,58,0.567,27.76,449.5,89.91,104.2,4.16,9.04,167.3,33.45,51.42,2.53,40.06,9.25,3.38,180,218,115,154
"HE 100 M",41.8,120,106,12,20,12,53.2,80,56,10,62,64,0.619,14.82,1143,190.4,235.8,4.63,18.04,399.2,75.31,116.3,2.74,66.06,68.21,9.93,96,116,65,85
"HE 120 AA",14.6,109,120,4.2,5.5,12,18.6,98,74,12,58,68,0.669,45.94,413.4,75.85,84.12,4.72,6.9,158.8,26.47,40.62,2.93,29.26,2.78,4.24,296,361,182,247
"HE 120 A",19.9,114,120,5,8,12,25.3,98,74,12,58,68,0.677,34.06,606.2,106.3,119.5,4.89,8.46,230.9,38.48,58.85,3.02,35.06,5.99,6.47,220,267,137,185
"HE 120 B",26.7,120,120,6.5,11,12,34,98,74,12,60,68,0.686,25.71,864.4,144.1,165.2,5.04,10.96,317.5,52.92,80.97,3.06,42.56,13.84,9.41,167,202,106,141
"HE 120 M",52.1,140,126,12.5,21,12,66.4,98,74,12,66,74,0.738,14.16,2018,288.2,350.6,5.51,21.15,702.8,111.6,171.6,3.25,68.56,91.66,24.79,92,111,61,80
"HE 140 AA",18.1,128,140,4.3,6,12,23,116,92,16,64,76,0.787,43.53,719.5,112.4,123.8,5.59,7.92,274.8,39.26,59.93,3.45,30.36,3.54,10.21,281,342,172,233
"HE 140 A",24.7,133,140,5.5,8.5,12,31.4,116,92,16,64,76,0.794,32.21,1033,155.4,173.5,5.73,10.12,389.3,55.62,84.85,3.52,36.56,8.13,15.06,208,253,129,174
"HE 140 B",33.7,140,140,7,12,12,43,116,92,16,66,76,0.805,23.88,1509,215.6,245.4,5.93,13.08,549.7,78.52,119.8,3.58,45.06,20.06,22.48,155,187,98,130
"HE 140 M",63.2,160,146,13,22,12,80.6,116,92,16,72,82,0.857,13.56,3291,411.4,493.8,6.39,24.46,1144,156.8,240.5,3.77,71.06,120,54.33,88,106,58,76
"HE 160 AA",23.8,148,160,4.5,7,15,30.4,134,104,20,76,84,0.901,37.81,1283,173.4,190.4,6.5,10.38,478.7,59.84,91.36,3.97,36.07,6.33,23.75,244,297,150,203
"HE 160 A",30.4,152,160,6,9,15,38.8,134,104,20,78,84,0.906,29.78,1673,220.1,245.1,6.57,13.21,615.6,76.95,117.6,3.98,41.57,12.19,31.41,192,234,120,161
"HE 160 B",42.6,160,160,8,13,15,54.3,134,104,20,80,84,0.918,21.56,2492,311.5,354,6.78,17.59,889.2,111.2,170,4.05,51.57,31.24,47.94,140,169,88,118
"HE 160 M",76.2,180,166,14,23,15,97.1,134,104,20,86,90,0.97,12.74,5098,566.5,674.6,7.25,30.81,1759,211.9,325.5,4.26,77.57,162.4,108.1,83,100,54,71
"HE 180 AA",28.7,167,180,5,7.5,15,36.5,152,122,24,84,92,1.018,35.51,1967,235.6,258.2,7.34,12.16,730,81.11,123.6,4.47,37.57,8.33,46.36,229,279,141,190
"HE 180 A",35.5,171,180,6,9.5,15,45.3,152,122,24,86,92,1.024,28.83,2510,293.6,324.9,7.45,14.47,924.6,102.7,156.5,4.52,42.57,14.8,60.21,187,226,115,155
"HE 180 B",51.2,180,180,8.5,14,15,65.3,152,122,24,88,92,1.037,20.25,3831,425.7,481.4,7.66,20.24,1363,151.4,231,4.57,54.07,42.16,93.75,131,159,83,110
"HE 180 M",88.9,200,186,14.5,24,15,113.3,152,122,24,94,98,1.089,12.25,7483,748.3,883.4,8.13,34.65,2580,277.4,425.2,4.77,80.07,203.3,199.3,80,96,52,68
"HE 200 AA",34.6,186,200,5.5,8,18,44.1,170,134,27,96,100,1.13,32.62,2944,316.6,347.1,8.17,15.45,1068,106.8,163.2,4.92,42.59,12.69,84.49,211,256,130,175
"HE 200 A",42.3,190,200,6.5,10,18,53.8,170,134,27,98,100,1.136,26.89,3692,388.6,429.5,8.28,18.08,1336,133.6,203.8,4.98,47.59,20.98,108,174,211,108,145
"HE 200 B",61.3,200,200,9,15,18,78.1,170,134,27,100,100,1.151,18.78,5696,569.6,642.5,8.54,24.83,2003,200.3,305.8,5.07,60.09,59.28,171.1,122,147,77,102
"HE 200 M",103,220,206,15,25,18,131.3,170,134,27,106,106,1.203,11.67,10640,967.4,1135,9,41.03,3651,354.5,543.2,5.27,86.09,259.4,346.3,76,92,49,65
