"name","m","h","t","r1","r2","A","ys","v","u1","u2","AL","AG","Iy","Wy","iy","Iu","iu","Iv","iv","Iyz","phi","emin","emax","Anet"
"L 90 x 90 x 7",9.6,90,7,11,5.5,12.24,2.45,6.36,3.47,3.16,0.351,36.48,92.5,14.13,2.75,147.1,3.47,38.02,1.76,-54.53,24.00,47,51,10.42
"L 90 x 90 x 8",10.9,90,8,11,5.5,13.89,2.50,6.36,3.53,3.17,0.351,32.15,104.4,16.05,2.74,165.9,3.46,42.87,1.76,-61.51,24.00,48,51,11.81
"L 90 x 90 x 9",12.2,90,9,11,5.5,15.52,2.54,6.36,3.59,3.18,0.351,28.77,115.8,17.93,2.73,184.0,3.44,47.63,1.75,-68.20,24.00,49,51,13.18
"L 100 x 100 x 8",12.2,100,8,12,6,15.51,2.74,7.07,3.87,3.52,0.390,32.00,144.8,19.94,3.06,230.2,3.85,59.47,1.96,-85.37,27.00,53,55,13.11
"L 100 x 100 x 10",15.0,100,10,12,6,19.15,2.82,7.07,3.99,3.54,0.390,25.92,176.7,24.62,3.04,280.7,3.83,72.65,1.95,-104.0,24.00,50,61,16.55
"L 100 x 100 x 12",17.8,100,12,12,6,22.71,2.90,7.07,4.11,3.57,0.390,21.86,206.7,29.12,3.02,328.0,3.80,85.42,1.94,-121.3,24.00,52,61,19.59
"L 110 x 110 x 10",16.6,110,10,13,6.5,21.18,3.06,7.78,4.33,3.88,0.429,25.79,238.0,29.99,3.35,378.2,4.23,97.72,2.15,-140.3,27.00,55,65,18.18
"L 110 x 110 x 12",19.7,110,12,13,6.5,25.14,3.15,7.78,4.45,3.91,0.429,21.73,279.1,35.54,3.33,443.3,4.20,115.0,2.14,-164.1,27.00,57,65,21.54
"L 120 x 120 x 10",18.2,120,10,13,6.5,23.18,3.31,8.49,4.69,4.24,0.469,25.76,312.9,36.03,3.67,497.6,4.63,128.3,2.35,-184.6,27.00,55,75,20.18
"L 120 x 120 x 11",19.9,120,11,13,6.5,25.37,3.36,8.49,4.75,4.25,0.469,23.54,340.6,39.41,3.66,541.5,4.62,139.8,2.35,-200.9,27.00,56,75,22.07
"L 120 x 120 x 12",21.6,120,12,13,6.5,27.54,3.40,8.49,4.80,4.26,0.469,21.69,367.7,42.73,3.65,584.3,4.61,151.0,2.34,-216.6,27.00,57,75,23.94
"L 120 x 120 x 13",23.3,120,13,13,6.5,29.69,3.44,8.49,4.86,4.28,0.469,20.12,394.0,46.01,3.64,625.9,4.59,162.2,2.34,-231.8,27.00,58,75,25.79
"L 120 x 120 x 15",26.6,120,15,13,6.5,33.93,3.51,8.49,4.97,4.31,0.469,17.60,444.9,52.43,3.62,705.6,4.56,184.2,2.33,-260.7,27.00,60,75,29.43
"L 130 x 130 x 12",23.5,130,12,14,7,29.97,3.64,9.19,5.15,4.60,0.508,21.59,472.2,50.44,3.97,750.6,5.00,193.7,2.54,-278.5,27.00,57,85,26.37
"L 140 x 140 x 10",21.4,140,10,15,7.5,27.24,3.79,9.90,5.37,4.93,0.547,25.59,504.4,49.43,4.30,802,5.43,206.8,2.76,-297.6,27.00,55,95,24.24
"L 140 x 140 x 13",27.4,140,13,15,7.5,34.95,3.92,9.90,5.55,4.96,0.547,19.94,638.5,63.37,4.27,1015,5.39,262.0,2.74,-376.6,27.00,58,95,31.05
"L 150 x 150 x 10",23.0,150,10,16,8,29.27,4.03,10.61,5.71,5.28,0.586,25.51,624.0,56.91,4.62,992,5.82,256.0,2.96,-368.0,27.00,55,105,26.27
"L 150 x 150 x 12",27.3,150,12,16,8,34.83,4.12,10.61,5.83,5.29,0.586,21.44,736.9,67.75,4.60,1172,5.80,302.0,2.94,-434.9,27.00,57,105,31.23
"L 150 x 150 x 14",31.6,150,14,16,8,40.31,4.21,10.61,5.95,5.32,0.586,18.53,845.4,78.33,4.58,1344,5.77,346.9,2.93,-498.5,27.00,59,105,36.11
"L 150 x 150 x 15",33.8,150,15,16,8,43.02,4.25,10.61,6.01,5.33,0.586,17.36,898.1,83.52,4.57,1427,5.76,368.9,2.93,-529.1,27.00,60,105,38.52
"L 150 x 150 x 18",40.1,150,18,16,8,51.03,4.37,10.61,6.17,5.37,0.586,14.63,1050,98.74,4.54,1666,5.71,433.8,2.92,-616.2,27.00,63,105,45.63
"L 160 x 160 x 15",36.2,160,15,17,8.5,46.06,4.49,11.31,6.35,5.67,0.625,17.30,1099,95.47,4.88,1747,6.16,450.8,3.13,-648.0,27.00,60,115,41.56
"L 160 x 160 x 17",40.7,160,17,17,8.5,51.82,4.57,11.31,6.46,5.70,0.625,15.37,1225,107.2,4.86,1947,6.13,504.1,3.12,-721.3,27.00,62,115,46.72
"L 180 x 180 x 16",43.5,180,16,18,9,55.39,5.02,12.73,7.10,6.38,0.705,16.20,1682,129.7,5.51,2675,6.95,689.4,3.53,-993.1,27.00,61,135,50.59
"L 180 x 180 x 18",48.6,180,18,18,9,61.91,5.10,12.73,7.22,6.41,0.705,14.50,1866,144.7,5.49,2965,6.92,766.0,3.52,-1100,27.00,63,135,56.51
"L 200 x 200 x 16",48.5,200,16,18,9,61.79,5.52,14.14,7.81,7.09,0.785,16.18,2341,161.7,6.16,3726,7.77,957.2,3.94,-1384,27.00,61,155,56.99
"L 200 x 200 x 18",54.2,200,18,18,9,69.11,5.60,14.14,7.93,7.12,0.785,14.46,2600,180.6,6.13,4135,7.74,1064,3.92,-1536,27.00,63,155,63.71
"L 200 x 200 x 20",59.9,200,20,18,9,76.35,5.68,14.14,8.04,7.15,0.785,13.09,2851,199.1,6.11,4532,7.70,1169,3.91,-1681,27.00,65,155,70.35
"L 200 x 200 x 24",71.1,200,24,18,9,90.59,5.84,14.14,8.26,7.21,0.785,11.03,3331,235.2,6.06,5286,7.64,1375,3.90,-1955,27.00,69,155,83.39
